miner,config,batch_id,drift_score,drift_band,quality_score,base_contamination,adaptive_formula,effective_param,base_eps,corr_threshold
IsolationForest,"base=0.25,formula=linear_0.30",2,0.011441085306892869,low,0.7459807073954984,0.25,linear_0.30,0.253432,,
IsolationForest,"base=0.25,formula=linear_0.30",3,0.0,low,0.7496847414880201,0.25,linear_0.30,0.25,,
IsolationForest,"base=0.25,formula=linear_0.30",4,0.0,low,0.7515527950310559,0.25,linear_0.30,0.25,,
IsolationForest,"base=0.25,formula=linear_0.30",5,1.0,high,0.5076142131979695,0.25,linear_0.30,0.49,,
IsolationForest,"base=0.25,formula=linear_0.30",6,1.0,high,0.51,0.25,linear_0.30,0.49,,
IsolationForest,"base=0.25,formula=linear_0.30",7,0.0,low,0.7500691945751453,0.25,linear_0.30,0.25,,
IsolationForest,"base=0.25,formula=linear_0.30",8,0.0,low,0.7482993197278911,0.25,linear_0.30,0.25,,
IsolationForest,"base=0.25,formula=linear_0.30",9,1.0,high,0.5106382978723405,0.25,linear_0.30,0.49,,
IsolationForest,"base=0.25,formula=linear_0.30",10,1.0,high,0.51,0.25,linear_0.30,0.49,,
IsolationForest,"base=0.25,formula=linear_0.15",1,0.0,low,0.750561797752809,0.25,linear_0.15,0.25,,
IsolationForest,"base=0.25,formula=linear_0.15",2,0.011441085306892869,low,0.7483922829581994,0.25,linear_0.15,0.251716,,
IsolationForest,"base=0.25,formula=linear_0.15",3,0.0,low,0.7496847414880201,0.25,linear_0.15,0.25,,
IsolationForest,"base=0.25,formula=linear_0.15",4,0.0,low,0.7515527950310559,0.25,linear_0.15,0.25,,
IsolationForest,"base=0.25,formula=linear_0.15",5,1.0,high,0.5989847715736041,0.25,linear_0.15,0.4,,
IsolationForest,"base=0.25,formula=linear_0.15",6,1.0,high,0.6,0.25,linear_0.15,0.4,,
IsolationForest,"base=0.25,formula=linear_0.15",7,0.0,low,0.7500691945751453,0.25,linear_0.15,0.25,,
IsolationForest,"base=0.25,formula=linear_0.15",8,0.0,low,0.7482993197278911,0.25,linear_0.15,0.25,,
IsolationForest,"base=0.25,formula=linear_0.15",9,1.0,high,0.6,0.25,linear_0.15,0.4,,
IsolationForest,"base=0.25,formula=linear_0.15",10,1.0,high,0.6,0.25,linear_0.15,0.4,,
IsolationForest,"base=0.3,formula=fixed",1,0.0,low,0.698876404494382,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",2,0.011441085306892869,low,0.70016077170418,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",3,0.0,low,0.699873896595208,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",4,0.0,low,0.7018633540372671,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",5,1.0,high,0.700507614213198,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",6,1.0,high,0.7,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",7,0.0,low,0.6999723221699419,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",8,0.0,low,0.7006802721088435,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",9,1.0,high,0.7,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=fixed",10,1.0,high,0.7,0.3,fixed,0.3,,
IsolationForest,"base=0.3,formula=linear_0.20",1,0.0,low,0.698876404494382,0.3,linear_0.20,0.3,,
IsolationForest,"base=0.3,formula=linear_0.20",2,0.011441085306892869,low,0.6977491961414791,0.3,linear_0.20,0.302288,,
IsolationForest,"base=0.3,formula=linear_0.20",3,0.0,low,0.699873896595208,0.3,linear_0.20,0.3,,
IsolationForest,"base=0.3,formula=linear_0.20",4,0.0,low,0.7018633540372671,0.3,linear_0.20,0.3,,
IsolationForest,"base=0.3,formula=linear_0.20",5,1.0,high,0.5076142131979695,0.3,linear_0.20,0.49,,
IsolationForest,"base=0.3,formula=linear_0.20",6,1.0,high,0.51,0.3,linear_0.20,0.49,,
IsolationForest,"base=0.3,formula=linear_0.20",7,0.0,low,0.6999723221699419,0.3,linear_0.20,0.3,,
IsolationForest,"base=0.3,formula=linear_0.20",8,0.0,low,0.7006802721088435,0.3,linear_0.20,0.3,,
IsolationForest,"base=0.3,formula=linear_0.20",9,1.0,high,0.5106382978723405,0.3,linear_0.20,0.49,,
IsolationForest,"base=0.3,formula=linear_0.20",10,1.0,high,0.51,0.3,linear_0.20,0.49,,
IsolationForest,"base=0.3,formula=linear_0.30",1,0.0,low,0.698876404494382,0.3,linear_0.30,0.3,,
IsolationForest,"base=0.3,formula=linear_0.30",2,0.011441085306892869,low,0.6961414790996785,0.3,linear_0.30,0.303432,,
IsolationForest,"base=0.3,formula=linear_0.30",3,0.0,low,0.699873896595208,0.3,linear_0.30,0.3,,
IsolationForest,"base=0.3,formula=linear_0.30",4,0.0,low,0.7018633540372671,0.3,linear_0.30,0.3,,
IsolationForest,"base=0.3,formula=linear_0.30",5,1.0,high,0.5076142131979695,0.3,linear_0.30,0.49,,
IsolationForest,"base=0.3,formula=linear_0.30",6,1.0,high,0.51,0.3,linear_0.30,0.49,,
IsolationForest,"base=0.3,formula=linear_0.30",7,0.0,low,0.6999723221699419,0.3,linear_0.30,0.3,,
IsolationForest,"base=0.3,formula=linear_0.30",8,0.0,low,0.7006802721088435,0.3,linear_0.30,0.3,,
IsolationForest,"base=0.3,formula=linear_0.30",9,1.0,high,0.5106382978723405,0.3,linear_0.30,0.49,,
IsolationForest,"base=0.3,formula=linear_0.30",10,1.0,high,0.51,0.3,linear_0.30,0.49,,
IsolationForest,"base=0.3,formula=linear_0.15",1,0.0,low,0.698876404494382,0.3,linear_0.15,0.3,,
IsolationForest,"base=0.3,formula=linear_0.15",2,0.011441085306892869,low,0.6977491961414791,0.3,linear_0.15,0.301716,,
IsolationForest,"base=0.3,formula=linear_0.15",3,0.0,low,0.699873896595208,0.3,linear_0.15,0.3,,
IsolationForest,"base=0.3,formula=linear_0.15",4,0.0,low,0.7018633540372671,0.3,linear_0.15,0.3,,
IsolationForest,"base=0.3,formula=linear_0.15",5,1.0,high,0.5482233502538071,0.3,linear_0.15,0.45,,
IsolationForest,"base=0.3,formula=linear_0.15",6,1.0,high,0.55,0.3,linear_0.15,0.45,,
IsolationForest,"base=0.3,formula=linear_0.15",7,0.0,low,0.6999723221699419,0.3,linear_0.15,0.3,,
IsolationForest,"base=0.3,formula=linear_0.15",8,0.0,low,0.7006802721088435,0.3,linear_0.15,0.3,,
IsolationForest,"base=0.3,formula=linear_0.15",9,1.0,high,0.548936170212766,0.3,linear_0.15,0.45,,
IsolationForest,"base=0.3,formula=linear_0.15",10,1.0,high,0.55,0.3,linear_0.15,0.45,,
IsolationForest,"base=0.35,formula=fixed",1,0.0,low,0.649438202247191,0.35,fixed,0.35,,
IsolationForest,"base=0.35,formula=fixed",2,0.011441085306892869,low,0.6495176848874598,0.35,fixed,0.35,,
IsolationForest,"base=0.35,formula=fixed",3,0.0,low,0.650063051702396,0.35,fixed,0.35,,
IsolationForest,"base=0.35,formula=fixed",4,0.0,low,0.6521739130434783,0.35,fixed,0.35,,
IsolationForest,"base=0.35,formula=fixed",5,1.0,high,0.649746192893401,0.35,fixed,0.35,,
IsolationForest,"base=0.35,formula=fixed",6,1.0,high,0.65,0.35,fixed,0.35,,
IsolationForest,"base=0.35,formula=fixed",7,0.0,low,0.6498754497647384,0.35,fixed,0.35,,
